"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000267206.6",5.4511778559853,4.62000941044162,0.854056470888703,5.40948938146231,6.32046980405298e-08,1.65870906056177e-06,"ENSG00000267206","Over-expressed","LCN6","protein_coding"
"ENSG00000159176.14",28297.4371121656,1.52177776750485,0.281397096830011,5.40793698530636,6.37548463061033e-08,1.67064400922538e-06,"ENSG00000159176","Over-expressed","CSRP1","protein_coding"
"ENSG00000153162.9",677.756947475118,2.45701641899955,0.454805341654052,5.40234732086433,6.57744359555459e-08,1.72096763545808e-06,"ENSG00000153162","Over-expressed","BMP6","protein_coding"
"ENSG00000184481.17",2147.76853369787,1.1116026907798,0.20576791241043,5.40221591286094,6.58226525335759e-08,1.72096763545808e-06,"ENSG00000184481","Over-expressed","FOXO4","protein_coding"
"ENSG00000260271.3",5.99111340609561,2.83755151173852,0.525575224896096,5.39894457981633,6.70340756851621e-08,1.74803337780705e-06,"ENSG00000260271","Over-expressed","RP1-45N11.1","lincRNA"
"ENSG00000091972.18",1262.80772318625,1.34254336796005,0.248674203407477,5.39880433741718,6.70864894301754e-08,1.74803337780705e-06,"ENSG00000091972","Over-expressed","CD200","protein_coding"
"ENSG00000226237.2",247.902594316884,2.28989843659754,0.424307561690575,5.3967891297385,6.78440448628607e-08,1.76329088410262e-06,"ENSG00000226237","Over-expressed","GAS1RR","lincRNA"
"ENSG00000114841.17",845.743425891643,1.27043380573751,0.235411563727602,5.39664995899499,6.78966666299748e-08,1.76335041911132e-06,"ENSG00000114841","Over-expressed","DNAH1","protein_coding"
"ENSG00000184185.10",145.58469548555,2.54570512349697,0.471736802502293,5.39645223775942,6.7971494881656e-08,1.76398616531764e-06,"ENSG00000184185","Over-expressed","KCNJ12","protein_coding"
"ENSG00000272729.1",6.92261054335687,2.82204661496097,0.523319234595391,5.39259103889591,6.94488930259241e-08,1.79966121831601e-06,"ENSG00000272729","Over-expressed","RP11-387A1.5","antisense"
"ENSG00000167874.7",201.729054455375,2.49861285568525,0.463367564345508,5.39229123474462,6.95648985760505e-08,1.80115154432489e-06,"ENSG00000167874","Over-expressed","TMEM88","protein_coding"
"ENSG00000134627.12",195.279486231134,1.47765488426236,0.274036801349584,5.39217680612664,6.96092248042215e-08,1.80115154432489e-06,"ENSG00000134627","Over-expressed","PIWIL4","protein_coding"
"ENSG00000284735.1",21.3798778535961,1.50554855837788,0.279249357663386,5.39141278954241,6.99058839472387e-08,1.8074927262668e-06,"ENSG00000284735","Over-expressed",NA,NA
"ENSG00000152580.8",1554.20798019909,3.28097069237557,0.608882006236201,5.38851642645324,7.1041670734567e-08,1.83229086032442e-06,"ENSG00000152580","Over-expressed","IGSF10","protein_coding"
"ENSG00000143171.13",71.3283460275834,3.22131389653828,0.597834696957276,5.38830200544296,7.11264612542091e-08,1.83229086032442e-06,"ENSG00000143171","Over-expressed","RXRG","protein_coding"
"ENSG00000213561.4",7.18979632378933,2.86618625748668,0.532016013409952,5.38740599012402,7.1481842911193e-08,1.84009284819519e-06,"ENSG00000213561","Over-expressed","RP11-386I14.2","processed_pseudogene"
"ENSG00000135046.14",29193.0273021453,1.98302540627062,0.368196968211415,5.38577331558034,7.21338288831391e-08,1.8542059258546e-06,"ENSG00000135046","Over-expressed","ANXA1","protein_coding"
"ENSG00000228484.3",16.0256707358642,1.91399562892616,0.355387338014569,5.38566072617842,7.21790015819355e-08,1.8542059258546e-06,"ENSG00000228484","Over-expressed","RP11-106M7.1","lincRNA"
"ENSG00000129757.14",1895.06701928651,2.22157429098035,0.412499884587727,5.3856361516336,7.2188864931231e-08,1.8542059258546e-06,"ENSG00000129757","Over-expressed","CDKN1C","protein_coding"
"ENSG00000151365.2",2646.18685502527,3.97286693895479,0.737980896737088,5.38342788616947,7.308053393375e-08,1.87298939749007e-06,"ENSG00000151365","Over-expressed","THRSP","protein_coding"
"ENSG00000248019.3",202.204620474189,1.42619352494978,0.26498024241989,5.38226364322597,7.35549253923452e-08,1.88376959877252e-06,"ENSG00000248019","Over-expressed","FAM13A-AS1","antisense"
"ENSG00000214575.9",127.759206275862,2.06810863990329,0.384417341903268,5.37985260931255,7.45468465655099e-08,1.90777850213487e-06,"ENSG00000214575","Over-expressed","CPEB1","protein_coding"
"ENSG00000234884.2",8.91651995672626,2.32902676671832,0.432976682204658,5.3791043777675,7.48573012379085e-08,1.91432521815337e-06,"ENSG00000234884","Over-expressed","CTA-407F11.8","antisense"
"ENSG00000148204.12",118.057190986101,2.71556024296417,0.504879013384258,5.37863561561309,7.50524366516038e-08,1.91791547635955e-06,"ENSG00000148204","Over-expressed","CRB2","protein_coding"
"ENSG00000243953.1",4.81261889041398,4.4635078684344,0.829885297975912,5.37846360132042,7.51241659195674e-08,1.91834923687467e-06,"ENSG00000243953","Over-expressed","RP11-439C8.2","lincRNA"
"ENSG00000261625.1",43.3266855010563,2.97759276385646,0.553740695239452,5.3772330432909,7.56392435902568e-08,1.9286906107603e-06,"ENSG00000261625","Over-expressed","RP11-554A11.4","sense_overlapping"
"ENSG00000142611.17",173.787748496931,2.56645790994761,0.477498882157753,5.37479354579875,7.66704802520744e-08,1.95356383682286e-06,"ENSG00000142611","Over-expressed","PRDM16","protein_coding"
"ENSG00000285420.1",21.2006698503204,2.56261033789265,0.477475409130493,5.36699961692121,8.00572267416974e-08,2.03394121747307e-06,"ENSG00000285420","Over-expressed",NA,NA
"ENSG00000185271.9",59.8823496012399,2.59425806544459,0.483396287439185,5.36673146413225,8.0176289811336e-08,2.03549008227548e-06,"ENSG00000185271","Over-expressed","KLHL33","protein_coding"
"ENSG00000186188.11",235.134638850726,2.15627964318596,0.401819974043217,5.36628286913892,8.03758548746413e-08,2.03907898300728e-06,"ENSG00000186188","Over-expressed","FFAR4","protein_coding"
"ENSG00000106772.18",996.782169375955,2.16158804865508,0.403001716727915,5.36371920746547,8.15256057869547e-08,2.06525639822557e-06,"ENSG00000106772","Over-expressed","PRUNE2","protein_coding"
"ENSG00000122367.20",197.631957936896,2.49189757190634,0.464725083119651,5.36208967929703,8.22646782909071e-08,2.08247326872972e-06,"ENSG00000122367","Over-expressed","LDB3","protein_coding"
"ENSG00000171914.16",5052.16050335996,2.00089692810884,0.37334362483244,5.35939760323177,8.3499904421426e-08,2.10917026056572e-06,"ENSG00000171914","Over-expressed","TLN2","protein_coding"
"ENSG00000089159.16",2766.76887846581,1.25053834258895,0.233344916571835,5.35918399663947,8.3598680582241e-08,2.11014392953805e-06,"ENSG00000089159","Over-expressed","PXN","protein_coding"
"ENSG00000272701.3",43.8597369008924,3.00237924609517,0.560252687168027,5.35897339693565,8.36961770559944e-08,2.11108391875937e-06,"ENSG00000272701","Over-expressed","MESTIT1","antisense"
"ENSG00000249249.2",116.282775704722,1.60572468170529,0.299754652454717,5.35679652861389,8.47104239220136e-08,2.13206156760614e-06,"ENSG00000249249","Over-expressed","AC010226.4","antisense"
