"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000128944.13",1033.38068387197,-1.88757999485884,0.288979941680424,-6.5318720181149,6.49526495046341e-11,3.74895564315462e-09,"ENSG00000128944","Down-regulated","KNSTRN","protein_coding"
"ENSG00000139734.19",674.21392084872,-2.95499594527755,0.452608783552435,-6.52880821729614,6.62950722346173e-11,3.82014449957207e-09,"ENSG00000139734","Down-regulated","DIAPH3","protein_coding"
"ENSG00000143543.15",614.353502993006,-1.62138986629456,0.248444692190733,-6.52616021697823,6.74771412385432e-11,3.88187461952769e-09,"ENSG00000143543","Down-regulated","JTB","protein_coding"
"ENSG00000188828.12",30.4861966138421,3.43828219683623,0.527257089552626,6.52107342881551,6.98059984613129e-11,4.00926746900344e-09,"ENSG00000188828","Over-expressed","GLRA4","protein_coding"
"ENSG00000105219.10",168.665413256062,-2.93027990460017,0.44965047821045,-6.51679481419057,7.18255679568005e-11,4.11184224295572e-09,"ENSG00000105219","Down-regulated","CNTD2","protein_coding"
"ENSG00000156509.14",79.6613982584623,-3.64365193697274,0.559159389135683,-6.51630287851358,7.20613996624751e-11,4.11184224295572e-09,"ENSG00000156509","Down-regulated","FBXO43","protein_coding"
"ENSG00000146005.4",73.4729651749529,3.15977969187982,0.484930478443959,6.51594369159657,7.22340703581505e-11,4.11499293495578e-09,"ENSG00000146005","Over-expressed","PSD2","protein_coding"
"ENSG00000197852.12",788.976411350027,2.11807426372717,0.325495836770125,6.50722382425746,7.65523113911223e-11,4.35391271037008e-09,"ENSG00000197852","Over-expressed","FAM212B","protein_coding"
"ENSG00000172061.9",5577.71834202702,-3.75010963273229,0.576406641271847,-6.50601392179944,7.71710775619917e-11,4.38199141391309e-09,"ENSG00000172061","Down-regulated","LRRC15","protein_coding"
"ENSG00000179051.14",9050.66088409246,-1.28911809300443,0.198296997074113,-6.50094611630769,7.98164196142119e-11,4.52486773654355e-09,"ENSG00000179051","Down-regulated","RCC2","protein_coding"
